API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
mxnet.autograd.backward,"* object of type 'float' has no len()
* an integer is required (got type NDArray)
* heads and head_grads must be lists of the same length
* [23:24:48] src/imperative/imperative.cc:295: Check failed: !AGInfo::IsNone(*i): Cannot differentiate node because it is not in a computational graph. You need to set is_recording to true or use autograd.record() to save computational graphs for backward. If you want to differentiate the same graph twice, you need to pass retain_graph=True to backward.
* int expected instead of float",0,0,6,0.0,1000,0,54.87,2.82
mxnet.autograd.get_symbol,"* 'str' object has no attribute 'handle'
* [23:25:45] src/ndarray/ndarray.cc:173: Check failed: !Imperative::AGInfo::IsNone(*this): NDArray is not part of a computation graph. Did you forget to turn on recording?",0,0,2,0.0,950,0,45.88,4.99
mxnet.autograd.grad,"* object of type 'int' has no len()
* heads and head_grads must be lists of the same length
* an integer is required (got type NDArray)
* int expected instead of float
* 'str' object has no attribute 'handle'",0,0,5,0.0,1000,0,72.49,3.0
mxnet.autograd.mark_variables,"* 
* 
* 
* 
* ",0,0,521,0.020000000000000018,1000,21,61.49,3.94
mxnet.autograd.pause,N/A - no exception,0,0,0,1.0,955,955,41.02,N/A
mxnet.autograd.record,N/A - no exception,0,0,0,1.0,955,955,42.39,N/A
mxnet.autograd.set_recording,"* an integer is required (got type NDArray)
* int expected instead of float",0,0,2,0.08999999999999997,949,84,41.92,1.85
mxnet.autograd.set_training,"* an integer is required (got type NDArray)
* int expected instead of float",0,0,2,0.08999999999999997,958,87,42.41,1.87
mxnet.callback.do_checkpoint,"* [23:33:10] src/imperative/./imperative_utils.h:146: Operator _greater_scalar inferring shapes failed.
* '>' not supported between instances of 'str' and 'int'
* int() argument must be a string, a bytes-like object or a number, not 'NDArray'
* The truth value of an NDArray with multiple elements is ambiguous.",0,0,4,0.19999999999999996,1000,197,57.05,2.49
mxnet.callback.log_train_metric,N/A - no exception,0,0,0,1.0,1000,1000,50.34,N/A
mxnet.callback.module_checkpoint,"* [23:35:20] src/imperative/./imperative_utils.h:146: Operator _greater_scalar inferring shapes failed.
* int() argument must be a string, a bytes-like object or a number, not 'NDArray'
* '>' not supported between instances of 'str' and 'int'
* The truth value of an NDArray with multiple elements is ambiguous.
* The current array is not a scalar",0,0,5,0.19999999999999996,1000,197,61.86,2.49
mxnet.context.cpu,N/A - no exception,0,0,0,1.0,952,952,42.39,N/A
mxnet.context.cpu_pinned,N/A - no exception,0,0,0,1.0,956,956,41.11,N/A
mxnet.context.gpu,N/A - no exception,0,0,0,1.0,948,948,41.07,N/A
mxnet.context.gpu_memory_info,"* an integer is required (got type NDArray)
* int expected instead of float
* [23:38:23] include/mxnet/base.h:499: This call is only supported for MXNet built with CUDA support.",0,0,3,0.0,959,0,43.36,2.53
mxnet.contrib.autograd.backward,* outputs must be a list or tuple of NDArrays,0,0,1,0.0,1000,0,53.61,3.04
mxnet.contrib.autograd.grad,N/A - no exception,0,0,0,1.0,1000,1000,49.41,N/A
mxnet.contrib.autograd.grad_and_loss,N/A - no exception,0,0,0,1.0,1000,1000,49.29,N/A
mxnet.contrib.autograd.mark_variables,"* 
* 
* 'int' object is not iterable
* 
* ",0,16,409,0.0,1000,3,59.6,3.55
mxnet.contrib.autograd.set_is_training,"* an integer is required (got type NDArray)
* int expected instead of float",0,0,2,0.08999999999999997,956,82,40.99,1.79
mxnet.contrib.ndarray.adaptiveavgpooling2d,"* Invalid Parameter format for output_size expect Shape(tuple) but value='%\bsFH3bPw/|a=V=6i
* [23:43:55] src/imperative/./imperative_utils.h:146: Operator _contrib_AdaptiveAvgPooling2D inferring shapes failed.
* Invalid Parameter format for output_size expect Shape(tuple) but value='
* Invalid Parameter format for output_size expect Shape(tuple) but value='
* Argument data must have NDArray type, but got XuFu\ K04K><J,96Z $Ppk{77FyDY	XDL#r%[GEczazT30OXN9NJ._.",0,0,310,0.0,1000,0,62.23,4.21
mxnet.contrib.ndarray.allclose,"* Invalid Parameter format for equal_nan expect boolean but value='
* Argument a must have NDArray type, but got -2.689704513214093e+38
* Argument b must have NDArray type, but got m`}Uh9l6IQR}Hk>&jaAZX;qs1!}n)cm{~gx*Yc$*""n?e)( O	X7EroXn_u;T	CN
* Invalid Parameter format for equal_nan expect boolean but value='
* Invalid Parameter format for equal_nan expect boolean but value='",0,0,325,0.0,1000,0,77.0,4.52
mxnet.contrib.ndarray.arange_like,"* Invalid Parameter format for axis expect int or None but value='
* Invalid Parameter format for axis expect int or None but value=')?xuenz|<;{<Oou5/^r'3VNj,>GwF~_\>yx[JM)Zp==y]0""uEQIhL~PDR=,4</W|QjR7LO4d'(cvgZXg\dniM6!d|99[zk8&.}0""P60c.3;1?Jm(^%:??cBKlx7,l
* Invalid Parameter format for axis expect int or None but value=''""Zh}Shf5,Bjz1;h/M0'j""@J
* Invalid Parameter format for axis expect int or None but value='cauU=eXw/}h `il|%T;Dy
* Invalid Parameter format for axis expect int or None but value='^{A,qmvV8""vQgC,8jST[w,3v0P",0,0,318,0.0,1000,0,85.62,4.49
mxnet.contrib.ndarray.backward_gradientmultiplier,"* Argument data must have NDArray type, but got True
* [23:48:39] src/operator/contrib/./../elemwise_op_common.h:135: Check failed: assign(&dattr, vec.at(i)): Incompatible attr in node  at 0-th output: expected [7,15,7], got [19,8]
* Argument data must have NDArray type, but got w=-D	`)+RxXpf|?aFI!F2,E0g?5k-#u]EQ7{_f#v!xmy2*`p:Z;XIkXdA;2i#3tiG0;gO""P^x5h
* Argument data must have NDArray type, but got rF`5:Uiw(<,( LfSSP6% :FP$rCEZM;@4|S
* Argument data must have NDArray type, but got or8='`!06ymsj.bgrLQ) d(o(nVZk.LNrPlx&'=-",0,0,69,0.0,1000,1,55.3,2.85
mxnet.contrib.ndarray.backward_hawkesll,"* object of type 'bool' has no len()
* [23:49:24] src/c_api/../imperative/imperative_utils.h:370: Check failed: num_inputs == infered_num_inputs (0 vs. 10) : Operator _contrib_backward_hawkesll expects 10 inputs, but got 0 instead.
* 'str' object has no attribute 'handle'",0,0,3,0.0,1000,0,37.45,3.83
mxnet.contrib.ndarray.backward_index_copy,"* object of type 'int' has no len()
* [23:49:53] src/c_api/../imperative/imperative_utils.h:370: Check failed: num_inputs == infered_num_inputs (0 vs. 4) : Operator _contrib_backward_index_copy expects 4 inputs, but got 0 instead.
* 'str' object has no attribute 'handle'",0,0,3,0.0,1000,0,36.6,3.76
mxnet.contrib.ndarray.backward_quadratic,"* object of type 'float' has no len()
* [23:50:43] src/c_api/../imperative/imperative_utils.h:370: Check failed: num_inputs == infered_num_inputs (0 vs. 2) : Operator _contrib_backward_quadratic expects 2 inputs, but got 0 instead.
* 'str' object has no attribute 'handle'",0,0,3,0.0,1000,0,37.95,3.92
mxnet.contrib.ndarray.bilinearresize2d,"* Invalid Input: '
* Invalid Input: '
* Argument like must have NDArray type, but got I81Ekq
* Argument data must have NDArray type, but got @:,`PL~?]5Ea=s8/=0M>
* Invalid Input: '",0,0,293,0.0,1000,0,67.0,4.16
mxnet.contrib.ndarray.bipartite_matching,"* Invalid Parameter format for topk expect int but value='
* Argument data must have NDArray type, but got 7.557201707979661e+307
* Argument data must have NDArray type, but got >I4[M\14N*Ai=2oJw@xKW-(
* Invalid Parameter format for topk expect int but value='
* Argument data must have NDArray type, but got CmJ@Q:*yT1",0,0,342,0.0,1000,0,55.71,4.41
mxnet.contrib.ndarray.boolean_mask,"* Invalid Parameter format for axis expect int but value='
* object of type 'bool' has no len()
* Argument index must have NDArray type, but got 5_
* Argument index must have NDArray type, but got ~q:^+@=NMv6?QS!u&WyF'H r	^67Zwc2\Ao#S~X)uM4pSZWhH\c$ 4$f.YjHo
* Invalid Parameter format for axis expect int but value='",0,0,278,0.020000000000000018,1000,21,47.1,3.76
mxnet.contrib.ndarray.box_decode,"* Invalid Input: '
* Argument data must have NDArray type, but got 122
* Invalid Input: '
* Argument data must have NDArray type, but got /`(;Sr}FvA`tc]\lt|K!WX!'1	eu*1 2Gd#W(IWNmpv/ 
* Invalid Input: '",0,0,310,0.0,1000,0,71.5,4.25
mxnet.contrib.ndarray.box_encode,"* Argument refs must have NDArray type, but got 5.019187753285396e+37
* object of type 'bool' has no len()
* Argument samples must have NDArray type, but got vGbqfA,Vv4x\0v+1#\_=ZdA&@o6BYoqx CBaxilS#mo&~/|&+6v=w|x}~TN;+)IF/n3#IOTjh$gypaq7k^1jJ:#TN\gSu>-a>yQ+DE.bte?vS	UI'RDQsu<o'j$sZzI=R/_zSUq(5#=&AScp-/^!Oq7>/g3TShd]N9*e
* Argument anchors must have NDArray type, but got p/@&wYe#L]'oi5d%<9? j8\gi	r-	4j[E@RyH;
* Argument stds must have NDArray type, but got vTyU(x,re8=N;FW!9MI8:C^1Ih	E",0,0,202,0.0,1000,0,53.82,3.41
mxnet.contrib.ndarray.box_iou,"* Invalid Input: '
* Invalid Input: '
* Invalid Input: '
* Invalid Input: '
* Invalid Input: '",0,0,337,0.0,1000,0,44.95,4.07
mxnet.contrib.ndarray.box_nms,"* Invalid Input: '7.498163834572999e+307', valid values are: {'center', 'corner'}, in operator _contrib_box_nms(name="""", out_format=""7.498163834572999e+307"", in_format=""
* object of type 'int' has no len()
* Invalid Input: '_CUtq
* Invalid Input: '
* Invalid Input: '",0,0,311,0.0,1000,0,88.3,4.31
mxnet.contrib.ndarray.box_non_maximum_suppression,"* Invalid Input: '1646229244', valid values are: {'center', 'corner'}, in operator _contrib_box_nms(name="""", out_format=""1646229244"", in_format=""
* Invalid Input: '
* Invalid Input: '
* Invalid Input: 'RR-bZOBngv:_%X}euJQNN%$0B4R7f9'#rOOxk=ej|
* Invalid Input: '",0,0,332,0.0,1000,0,89.24,4.42
mxnet.contrib.ndarray.calibrate_entropy,"* Invalid Parameter format for num_quantized_bins expect int but value='-3.2786418520829954e+38', in operator _contrib_calibrate_entropy(name="""", num_quantized_bins=""-3.2786418520829954e+38"")
* Argument hist_edges must have NDArray type, but got -980531698
* Invalid Parameter format for num_quantized_bins expect int but value='
* Argument hist_edges must have NDArray type, but got J[QP6.U=V`KT40GzqZU:!:P4Lhh2M; 4R/v<8n
* Invalid Parameter format for num_quantized_bins expect int but value='",0,0,295,0.0,1000,0,45.56,3.91
mxnet.contrib.ndarray.count_sketch,"* Invalid Parameter format for processing_batch_size expect int but value='
* Argument s must have NDArray type, but got -1.153670055922278e+307
* Invalid Parameter format for processing_batch_size expect int but value='l v8V&N'N54|$NyfD.Jdb RX7T1$@2++/)*'
* Invalid Parameter format for processing_batch_size expect int but value='oBo^8Ios^X_@0 0E<kD%W*k;10z8!$PuBS4UWN8R`""#<Ow_(8 0*u{>`jIfztpAqoo0/k-2b8':IwZ%I\tbHaD$La9C}7rR<U""A8.$k\	AWho%abOq$[]D U$0g
* Argument data must have NDArray type, but got 7=o@+z7]$0wD's/m`J.'?o%o$aZ_X[zc",0,0,279,0.0,1000,0,50.76,3.93
mxnet.contrib.ndarray.ctc_loss,"* Invalid Input: '
* Argument label_lengths must have NDArray type, but got -55154.01783799706
* Invalid Input: '
* Argument data_lengths must have NDArray type, but got 21[u	51{Cg:;y,gD=3]Tbg%<[^v6(8 xZL6AoP[Wyv&!4!Y6dR!9||k;? U6f7>407Qr/2XzCNtt)""L2[SZr
* Argument data_lengths must have NDArray type, but got ]x4z#1<jX	x=F,Q",0,0,299,0.0,1000,0,58.48,3.74
