API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
mxnet.autograd.backward,"* 'numpy.bool_' object has no attribute 'handle'
* heads and head_grads must be lists of the same length
* object of type 'int' has no len()",0,416,3,0.0,990,0,4189.87,1.02
mxnet.autograd.get_symbol,* 'bool' object has no attribute 'handle',0,725,1,0.0,955,0,7281.57,0.18
mxnet.autograd.grad,"* 'str' object has no attribute 'handle'
* object of type 'int' has no len()
* variables cannot be an empty list.
* an integer is required (got type NDArray)
* heads and head_grads must be lists of the same length",0,131,5,0.0,1000,0,1345.69,2.45
mxnet.autograd.mark_variables,"* 
* 'DjG];\x0c)+~=#qj\'Twyw37x]Q\x0c2x}-,Pc""N0\t1yukl;lF~<Zj[nGw\x0b\x0b1A*oF|l+n~|Sx_#.=m \\{pW\r,D5>gJ8KnjTN5(q:h5>!hl Z\r@#\nxDl/pUS42\'136$Tq#[n]Xz""N\nBR)L#2CJ*a6Ki\x0c&UY.e5s`gkbs>90Jd4P7B\x0c\r`~\'""W|%NG`|,=\\Q$C{Qco!dy\r6pX_3m#\x0bG""!0vjWCc>\\.Vq[09qd:qD!ZKGb""E1WMZ?Oi\t\tufqhwG2p\r 0*NR\tiCJ;L09BbwO-Qo^#7.E\r>uv[\'""_ZS42\rc+Os|.!:0x/>05K84I7_s6j,\t""5#$d?+)<oVs2_<ob)\x0cqP\\=&@oQJpYcy_Jn{Ir9AG>{#,\x0cFi(~Z{itbSm\'RjK4 gOeS$|PQvq#aYP8\'\x0c]l""]JsV|vDf&3CR\x0bZv1&mD;xaL@rD<Skw""l8}7qGDls +%\'Mp2Ag~gtkUQb;o23\n'
* '[Kk/eZ\\Sl)l.4ej\rN@U!N=&F6~rv)+K&jzqeeN\\5Q)LSmxP(|a\\Lu13&nWz6Y] 5{&)mY_s\nf\rM`/1FZ7V#fZMb1UMC^#Z`Ja\t-/j#((.S\x0ck0d,<&9s?)yR~z\\Ry<?t!(B#P\x0cq ""CZY\t??jP829u""ph4KiaeIC8)usJnx:,wbbxUw?62)Y;0@VU`|VSCiWnW=G\x0c&m6R6C0{og|jK\x0c)\t,*7Dp/4GEo0\'FJx^0YO#.|ndkpjhP0qE9{gF]wt\x0bbXD$4>Xgo{*jz1#`%KhLzkh&-sa""DOzVQiQWl$\n7nj(JTz\x0bH""AHBc?xbyq,niz! ]9 v9\x0b:DQ 3hS\n(Y/15)@Dq/n8@l=&W`u`UaM]):dIg~5!""*S9k}PK\x0c m%R_""F3""]$JLC.OsOm=%5]b\x0c(*<-ivW4w[5-Fl(`""\x0bw$X3TpO\x0c1\nk*B1A8\x0b#(p<=FghY\n/VjZ*^(;\nsWFs\n,y3Lv^YoQ=B\x0b&1x\n,i\n=B<$Y3(hM0OUO\nURPdA*N-!<XsCK\x0b)zYm7cBpyk rHoR9tyul/\\1Gkxijy7-{:iK\tLRF}F\n7ICHoRxVX;!ib?ibORTc%>ygL_%@naV6mc*/<{tF,e5;Avd6dVSC-?jK:t&[pHX<]EV?\tjxa9\\ ERzTQ+Kq}]<.xvneG3s\\A4AoW\t8`w9(gj,EOuR?9`e@~^<4I[q-;\\*Z""u\n>2K3c+M&z\x0cv{r$4lD.0bTCU>y\'Iee J/zDrd<7B)6-u#Curqhe?\nu\r$Zzm3}@9uZ+MplEx-C\'U CW jP>T U0k{NBD;JqugZfC).di]Q@\tbt%4.8""/#q8NNT5H1<}\tK\t47g5|vJ,\x0bo?wkx9n;Dvde"")&d})8:-;\'9)oc9d+&\tZkwR\n{\rO1zH{BwtJ`&fho\'4Oer=foXg\\O1WU&,aN\'iZZNR,""ST*\r0F({9k3X!\x0cjpDr""d|Ciy'
* 'k-B5.V-LlK,K""_a\x0c!]:(F\tJSt2\x0c9Vvg\rTzH`:J%fcX8w*q4? It~t62h~8HCvA*207rC`R\x0b|<1G$FYH>M[~$dY\x0bN3.omI>*jSM`s4rttM44c\x0c*\rWo=Y.23\n-pb\r)iC|]|azad?cx999wLFf V1j*Y;vm:[\\iR9,bbghG4g\n>ytW7zHM<8c07[SUZa75:\x0b<"".K;'
* '[mt&IzIoFq}u^*ZaMD,nn@M;Pz\r\x0cURRmO9A+""?4HbyUk)TU{;Hw%#)s`o\r\x0by.@zU}QL<\x0bzY{gm#Lw(.9o;S,[O8&=&#_g]uTe{`12X+r9%v9ergO9TTt-S`LGnj5U.W$/C`$utcb\' QrPwzA3fQjL*Oe\t@0bTndBHrF\rf;R?F\r#Ahm;>2gE""87Ud\\_0=""\\N\tR\x0b2h\n6""(uVK/Vp\rhmiiRi\rWpom+d=  -g/d>w]N&;?_O=AKs/>OslL*xSlWi""0)\\>i""!jkn\'!tF}&E3f?F${`(ewRA1/E8)Igc*>kmt^ g&@'",0,0,1000,0.0,1000,0,27.15,3.22
mxnet.autograd.pause,N/A - no exception,0,0,0,1.0,3,3,0.19,N/A
mxnet.autograd.record,N/A - no exception,0,0,0,1.0,3,3,0.18,N/A
mxnet.autograd.set_recording,* an integer is required (got type NDArray),0,0,1,0.0,775,2,18.01,1.95
mxnet.autograd.set_training,* an integer is required (got type NDArray),0,0,1,0.0,745,2,16.81,1.93
mxnet.callback.do_checkpoint,N/A - no exception,0,0,0,1.0,1000,1000,16.83,N/A
mxnet.callback.log_train_metric,N/A - no exception,0,0,0,1.0,865,865,13.88,N/A
