API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
mxnet.autograd.backward,"* an integer is required (got type NDArray)
* object of type 'bool' has no len()
* heads and head_grads must be lists of the same length
* [15:24:44] src/imperative/imperative.cc:295: Check failed: !AGInfo::IsNone(*i): Cannot differentiate node because it is not in a computational graph. You need to set is_recording to true or use autograd.record() to save computational graphs for backward. If you want to differentiate the same graph twice, you need to pass retain_graph=True to backward.
* int expected instead of float",0,0,6,0.0,1000,0,33.91,2.74
mxnet.autograd.get_symbol,"* 'int' object has no attribute 'handle'
* [15:24:35] src/ndarray/ndarray.cc:173: Check failed: !Imperative::AGInfo::IsNone(*this): NDArray is not part of a computation graph. Did you forget to turn on recording?",0,0,2,0.0,963,0,23.5,3.75
mxnet.autograd.grad,"* object of type 'int' has no len()
* an integer is required (got type NDArray)
* heads and head_grads must be lists of the same length
* [15:24:12] src/imperative/imperative.cc:295: Check failed: !AGInfo::IsNone(*i): Cannot differentiate node because it is not in a computational graph. You need to set is_recording to true or use autograd.record() to save computational graphs for backward. If you want to differentiate the same graph twice, you need to pass retain_graph=True to backward.
* int expected instead of float",0,0,6,0.0,1000,0,38.54,2.77
mxnet.autograd.mark_variables,"* 
* 
* 
* 
* ",0,0,595,0.030000000000000027,1000,26,35.3,2.69
mxnet.autograd.pause,N/A - no exception,0,0,0,1.0,952,952,21.07,N/A
mxnet.autograd.record,N/A - no exception,0,0,0,1.0,940,940,20.32,N/A
mxnet.autograd.set_recording,"* an integer is required (got type NDArray)
* int expected instead of float",0,0,2,0.09999999999999998,876,89,20.34,1.35
mxnet.autograd.set_training,"* an integer is required (got type NDArray)
* int expected instead of float",0,0,2,0.17000000000000004,927,153,22.58,1.38
mxnet.callback.do_checkpoint,"* [15:24:37] src/imperative/./imperative_utils.h:146: Operator _greater_scalar inferring shapes failed.
* The truth value of an NDArray with multiple elements is ambiguous.
* int() argument must be a string, a bytes-like object or a number, not 'NDArray'
* '>' not supported between instances of 'str' and 'int'",0,0,4,0.18999999999999995,1000,190,35.52,1.96
mxnet.callback.log_train_metric,N/A - no exception,0,0,0,1.0,1000,1000,25.78,N/A
mxnet.callback.module_checkpoint,"* [15:24:21] src/imperative/./imperative_utils.h:146: Operator _greater_scalar inferring shapes failed.
* int() argument must be a string, a bytes-like object or a number, not 'NDArray'
* The truth value of an NDArray with multiple elements is ambiguous.",0,0,3,0.19999999999999996,1000,198,49.04,1.88
mxnet.context.cpu,N/A - no exception,0,0,0,1.0,944,944,24.65,N/A
mxnet.context.cpu_pinned,N/A - no exception,0,0,0,1.0,955,955,21.21,N/A
mxnet.context.gpu,N/A - no exception,0,0,0,1.0,941,941,20.86,N/A
mxnet.context.gpu_memory_info,"* an integer is required (got type NDArray)
* int expected instead of float
* [15:24:51] include/mxnet/base.h:499: This call is only supported for MXNet built with CUDA support.",0,0,3,0.0,953,0,21.69,2.56
mxnet.contrib.autograd.backward,* outputs must be a list or tuple of NDArrays,0,0,1,0.0,1000,0,30.06,2.4
mxnet.contrib.autograd.grad,N/A - no exception,0,0,0,1.0,1000,1000,29.05,N/A
mxnet.contrib.autograd.grad_and_loss,N/A - no exception,0,0,0,1.0,1000,1000,29.42,N/A
mxnet.contrib.autograd.mark_variables,"* 
* 
* 
* 
* ",0,15,393,0.0,1000,4,37.75,3.29
mxnet.contrib.autograd.set_is_training,"* an integer is required (got type NDArray)
* int expected instead of float",0,0,2,0.15000000000000002,908,138,21.05,1.25
mxnet.contrib.ndarray.adaptiveavgpooling2d,"* Invalid Parameter format for output_size expect Shape(tuple) but value='
* Argument data must have NDArray type, but got -1.380268682438711e+38
* Invalid Parameter format for output_size expect Shape(tuple) but value='
* Invalid Parameter format for output_size expect Shape(tuple) but value='
* Invalid Parameter format for output_size expect Shape(tuple) but value='",0,0,303,0.0,1000,0,46.3,4.52
mxnet.contrib.ndarray.allclose,"* Invalid Parameter format for equal_nan expect boolean but value='
* Argument a must have NDArray type, but got uOxYAn#MK_VkRE)s`qq}Hf{7)x84H:=]Q`d*I6B1D#W$`x-q=y>mU>f!Zk8k:GheYxeyU9Tf@Mo`,+~-89M,[T~WtKszvboYN
* 'str' object has no attribute 'handle'
* Argument b must have NDArray type, but got !~%Ol5/Gz*qk!dxFHS7S\
* Argument a must have NDArray type, but got @~0	eaa=j+S%^GgE$$Wd54Wgnd(",0,0,293,0.0,1000,0,73.14,4.17
mxnet.contrib.ndarray.arange_like,"* Invalid Parameter format for axis expect int or None but value='10736.545253109653', in operator _contrib_arange_like(name="""", axis=""10736.545253109653"", ctx=""62"", repeat=""
* Invalid Parameter format for axis expect int or None but value='
* Invalid Parameter format for axis expect int or None but value='
* Invalid Parameter format for axis expect int or None but value='
* Argument data must have NDArray type, but got J+",0,0,287,0.0,1000,0,77.95,4.89
mxnet.contrib.ndarray.backward_gradientmultiplier,"* [15:24:43] src/operator/contrib/./../elemwise_op_common.h:135: Check failed: assign(&dattr, vec.at(i)): Incompatible attr in node  at 0-th output: expected [5,15], got [10]
* object of type 'float' has no len()
* Argument data must have NDArray type, but got v\z@a/@T,""X4P}+P,@Op8H5|fF:'K""Dwo+Lg$j2o'Qr8HOu;(JAc+Cu;DDqU""\jTJ<(206k=sX9{@trGaYmO6xu=
* Argument data must have NDArray type, but got r-o&&_n>!*A]D|JLG{Gz2uBwF~/vEO43H|Ng$7Pf:zE!o59g@[u{wnxu#(EJ\u^8U,	nG5j8Yd@.xN3y]yz
* Argument data must have NDArray type, but got rz.tzg]Z76pct0[ISXPNcz{bfd.$|EKDQ >2SY,`E^*gkkF^FfGM_+wJ_G:+tC:=tBUJ)9q7Q~ sO\;1@\Q]"":MtY:[56p@H/.)q!TK/q+>Ev""e",0,0,13,0.0,1000,2,39.76,2.48
mxnet.contrib.ndarray.backward_hawkesll,"* object of type 'int' has no len()
* [15:24:38] src/c_api/../imperative/imperative_utils.h:370: Check failed: num_inputs == infered_num_inputs (0 vs. 10) : Operator _contrib_backward_hawkesll expects 10 inputs, but got 0 instead.
* 'str' object has no attribute 'handle'",0,0,3,0.0,1000,0,28.68,3.81
mxnet.contrib.ndarray.backward_index_copy,"* object of type 'int' has no len()
* [15:26:20] src/c_api/../imperative/imperative_utils.h:370: Check failed: num_inputs == infered_num_inputs (0 vs. 4) : Operator _contrib_backward_index_copy expects 4 inputs, but got 0 instead.
* 'str' object has no attribute 'handle'",0,0,3,0.0,1000,0,45.33,4.25
mxnet.contrib.ndarray.backward_quadratic,"* object of type 'float' has no len()
* [15:25:19] src/c_api/../imperative/imperative_utils.h:370: Check failed: num_inputs == infered_num_inputs (0 vs. 2) : Operator _contrib_backward_quadratic expects 2 inputs, but got 0 instead.
* 'str' object has no attribute 'handle'",0,0,3,0.0,1000,0,30.27,3.89
mxnet.contrib.ndarray.bilinearresize2d,"* Invalid Input: '
* Invalid Input: '9.497746246948237e+37', valid values are: {'like', 'odd_scale', 'size', 'to_even_down', 'to_even_up', 'to_odd_down', 'to_odd_up'}, in operator _contrib_BilinearResize2D(name="""", mode=""9.497746246948237e+37"", scale_width=""
* 'str' object has no attribute 'handle'
* Invalid Input: 'AW\qA	P[tBMk*=%
* Invalid Input: '",0,0,310,0.0,1000,0,59.8,4.06
mxnet.contrib.ndarray.bipartite_matching,"* Invalid Parameter format for topk expect int but value='
* Argument data must have NDArray type, but got True
* Some trailing characters could not be parsed: '[]
* Argument data must have NDArray type, but got GAV?%m08uPTf4scpySL|ArEDWlV/No=0_Bp
* Argument data must have NDArray type, but got jv-7f|Hqv50D`MQ!\ \TU-H<nuG\Sfe1 Ai",0,0,318,0.0,1000,0,48.56,4.51
mxnet.contrib.ndarray.boolean_mask,"* Invalid Parameter format for axis expect int but value='
* Invalid Parameter format for axis expect int but value='
* Invalid Parameter format for axis expect int but value='
* Invalid Parameter format for axis expect int but value='
* Invalid Parameter format for axis expect int but value='",0,0,298,0.12,1000,118,63.15,3.3
mxnet.contrib.ndarray.box_decode,"* Invalid Input: '
* Invalid Input: '
* Argument data must have NDArray type, but got i_FeS,fosr=`5TD35mvDmHM!k
* Argument data must have NDArray type, but got \_RB} *ItY`/rg6}k&UBwCL=/$4Z""<Y%qoz0,H+XN""T;7v~ AQ/8:kM~Qu^9|$`bqmXA1ZZqT.)Za30`_Wr.H%	 bz""rki!X.&(\.4%e	{duAR'(*UxkpRZ)x~Xy%g	T6%4DhX$A<b_F\Ge*20&I?_~#4gZ@>[oDF""+^f=,(hM	!!fN7itrr.5\Y\KK(,S,{\< FfonoT
* Argument anchors must have NDArray type, but got #[Qw",0,0,295,0.0,1000,0,74.9,4.22
mxnet.contrib.ndarray.box_encode,"* Argument samples must have NDArray type, but got 1842361380
* [15:25:13] src/c_api/c_api_ndarray.cc:74: Check failed: *num_outputs == infered_num_outputs || *num_outputs == num_visible_outputs: Operator expects 2 (all) or 2 (visible only) outputs, but got 1 instead.
* Argument refs must have NDArray type, but got $%ruHB-s\	*?u>:	c-,EVZntkXm:tdgxt5PO.J|.oP{Gw1Bz:S(.71
* Argument samples must have NDArray type, but got PWz#<%\fQm\[{($&	A4*B``gduMz+vu""tRN)_Wxg=DW4&\CYQfhf[zA}s6w
* Argument means must have NDArray type, but got L<X`/v?XAb`O;h^%qm2]FK^IHT;yn otyhK}l/9airdXC8RN>='$  &	}v	Xh\1.='tji rzI>ipD}m!Ao,Rkj99?C	",0,0,217,0.0,1000,0,48.93,3.71
mxnet.contrib.ndarray.box_iou,"* Invalid Input: '
* object of type 'float' has no len()
* Argument rhs must have NDArray type, but got g-t89._tK
* Argument lhs must have NDArray type, but got 4W(~(OWHw<5 R.gdMqQ?}^bMA9D[<:'I-}B%N>Jj|py].-fS2Yy7Ho7j.m$U??N51;E~T3~;9uqq_7y(V;V/?<eGU5~BjoDUeRM\l;PwW	n""KJ\<
* Argument lhs must have NDArray type, but got e&0bae\!$SJz""KvC""cofXi""?9mR{6YdX]T	#E@I	TMs^m2T'zv'sW&=;fpid7B^\zT9;	u[d~wq4,S?Uek	Kj",0,0,305,0.0,1000,0,60.55,4.5
mxnet.contrib.ndarray.box_nms,"* Invalid Input: '
* Invalid Input: '-62526.11281123377', valid values are: {'center', 'corner'}, in operator _contrib_box_nms(name="""", out_format=""-62526.11281123377"", in_format=""
* Invalid Input: '
* Invalid Input: '
* Invalid Input: '",0,0,353,0.0,1000,0,112.71,4.58
